station;VARIABLE;YEAR;MONTH;DAY;HOUR;Value
station105;Wind;2019;1;2;10;2.56833333333333
station82;Wind;2019;1;2;11;2.44333333333333
station254;Wind;2019;1;2;11;2.13083333333333
station319;Wind;2019;1;2;11;2.267
station271;Wind;2019;1;2;11;1.87116666666667
station349;Wind;2019;1;2;11;-999
station83;Wind;2019;1;2;11;1.205
station68;Wind;2019;1;2;11;2.90833333333333
station197;Wind;2019;1;2;11;1.4685
station59;Wind;2019;1;2;11;1.55333333333333
station313;Wind;2019;1;2;11;1.60383333333333
station252;Wind;2019;1;2;11;1.915
station206;Wind;2019;1;2;11;1.47666666666667
station229;Wind;2019;1;2;11;2.36466666666667
station322;Wind;2019;1;2;11;1.53883333333333
station318;Wind;2019;1;2;11;1.64616666666667
station105;Wind;2019;1;2;11;2.58333333333333
station82;Wind;2019;1;2;12;2.80333333333333
station254;Wind;2019;1;2;12;3.15683333333333
station319;Wind;2019;1;2;12;3.63433333333333
station271;Wind;2019;1;2;12;2.96866666666667
station349;Wind;2019;1;2;12;-999
station83;Wind;2019;1;2;12;1.98666666666667
station68;Wind;2019;1;2;12;3.15333333333333
station197;Wind;2019;1;2;12;1.77266666666667
station59;Wind;2019;1;2;12;3.05
station313;Wind;2019;1;2;12;2.2515
station252;Wind;2019;1;2;12;2.7045
station206;Wind;2019;1;2;12;1.73
station229;Wind;2019;1;2;12;2.2035
station322;Wind;2019;1;2;12;1.74566666666667
station318;Wind;2019;1;2;12;1.83033333333333
station105;Wind;2019;1;2;12;-64.43
station82;Wind;2019;1;2;13;4.13333333333333
station254;Wind;2019;1;2;13;3.87366666666667
station319;Wind;2019;1;2;13;3.88316666666667
station271;Wind;2019;1;2;13;2.50633333333333
station349;Wind;2019;1;2;13;-999
station83;Wind;2019;1;2;13;2.03333333333333
station68;Wind;2019;1;2;13;2.335
station197;Wind;2019;1;2;13;1.782
station59;Wind;2019;1;2;13;4.10166666666666
station313;Wind;2019;1;2;13;1.804
station252;Wind;2019;1;2;13;4.4015
station206;Wind;2019;1;2;13;2.085
station229;Wind;2019;1;2;13;3.05283333333333
station322;Wind;2019;1;2;13;-81.4306666666667
station318;Wind;2019;1;2;13;2.02533333333333
station105;Wind;2019;1;2;13;-131.56
station82;Wind;2019;1;2;14;4.515
station254;Wind;2019;1;2;14;3.75816666666667
station319;Wind;2019;1;2;14;3.7445
station271;Wind;2019;1;2;14;3.7095
station349;Wind;2019;1;2;14;-999
station83;Wind;2019;1;2;14;2.18
station68;Wind;2019;1;2;14;2.47833333333333
station197;Wind;2019;1;2;14;2.89366666666667
station59;Wind;2019;1;2;14;4.08166666666667
station313;Wind;2019;1;2;14;1.58183333333333
station252;Wind;2019;1;2;14;4.61683333333333
station206;Wind;2019;1;2;14;3.04666666666667
station229;Wind;2019;1;2;14;4.818
station322;Wind;2019;1;2;14;3.06166666666667
station318;Wind;2019;1;2;14;3.21683333333333
station105;Wind;2019;1;2;14;-198.608333333333
station82;Wind;2019;1;2;15;3.47166666666667
station254;Wind;2019;1;2;15;3.75666666666667
station319;Wind;2019;1;2;15;4.33583333333333
station271;Wind;2019;1;2;15;4.61883333333333
station349;Wind;2019;1;2;15;-999
station83;Wind;2019;1;2;15;2.60666666666667
station68;Wind;2019;1;2;15;2.30666666666667
station197;Wind;2019;1;2;15;3.2425
station59;Wind;2019;1;2;15;3.295
station313;Wind;2019;1;2;15;2.13916666666667
station252;Wind;2019;1;2;15;4.5175
station206;Wind;2019;1;2;15;3.83166666666667
station229;Wind;2019;1;2;15;5.821
station322;Wind;2019;1;2;15;3.5975
station318;Wind;2019;1;2;15;3.45916666666667
station105;Wind;2019;1;2;15;-181.62
station82;Wind;2019;1;2;16;3.14666666666667
station254;Wind;2019;1;2;16;3.04483333333333
station319;Wind;2019;1;2;16;4.0355
station271;Wind;2019;1;2;16;4.34016666666667
station349;Wind;2019;1;2;16;-999
station83;Wind;2019;1;2;16;2.66
station68;Wind;2019;1;2;16;1.58166666666667
station197;Wind;2019;1;2;16;2.90416666666667
station59;Wind;2019;1;2;16;2.405
station313;Wind;2019;1;2;16;2.118
station252;Wind;2019;1;2;16;4.8375
station206;Wind;2019;1;2;16;3.31
station229;Wind;2019;1;2;16;5.522
station322;Wind;2019;1;2;16;3.17366666666667
station318;Wind;2019;1;2;16;2.6625
station105;Wind;2019;1;2;16;-147.73
station82;Wind;2019;1;2;17;3.26166666666667
station254;Wind;2019;1;2;17;2.68566666666667
station319;Wind;2019;1;2;17;2.79083333333333
station271;Wind;2019;1;2;17;3.09783333333333
station349;Wind;2019;1;2;17;-999
station83;Wind;2019;1;2;17;1.80166666666667
station68;Wind;2019;1;2;17;2.13166666666667
station197;Wind;2019;1;2;17;1.962
station59;Wind;2019;1;2;17;2.555
station313;Wind;2019;1;2;17;1.56033333333333
station252;Wind;2019;1;2;17;2.82633333333333
station206;Wind;2019;1;2;17;2.71166666666667
station229;Wind;2019;1;2;17;6.19683333333333
station322;Wind;2019;1;2;17;3.66833333333333
station318;Wind;2019;1;2;17;2.48416666666667
station105;Wind;2019;1;2;17;-181.598333333333
station82;Wind;2019;1;2;18;3.625
station254;Wind;2019;1;2;18;2.10066666666667
station319;Wind;2019;1;2;18;2.394
station271;Wind;2019;1;2;18;2.95366666666667
station349;Wind;2019;1;2;18;-999
station83;Wind;2019;1;2;18;2.46166666666667
station68;Wind;2019;1;2;18;2.22
station197;Wind;2019;1;2;18;1.53833333333333
station59;Wind;2019;1;2;18;3.51166666666667
station313;Wind;2019;1;2;18;1.14266666666667
station252;Wind;2019;1;2;18;2.23416666666667
station206;Wind;2019;1;2;18;1.51666666666667
station229;Wind;2019;1;2;18;4.04233333333334
station322;Wind;2019;1;2;18;2.21883333333333
station318;Wind;2019;1;2;18;2.45533333333333
station105;Wind;2019;1;2;18;-165.576666666667
station82;Wind;2019;1;2;19;2.28333333333333
station254;Wind;2019;1;2;19;2.18983333333333
station319;Wind;2019;1;2;19;1.9355
station271;Wind;2019;1;2;19;4.28083333333333
station349;Wind;2019;1;2;19;-999
station83;Wind;2019;1;2;19;2.19
station68;Wind;2019;1;2;19;2.47666666666667
station197;Wind;2019;1;2;19;1.12366666666667
station59;Wind;2019;1;2;19;3.27333333333333
station313;Wind;2019;1;2;19;1.24666666666667
station252;Wind;2019;1;2;19;1.88483333333333
station206;Wind;2019;1;2;19;1.84833333333333
station229;Wind;2019;1;2;19;3.94283333333333
station322;Wind;2019;1;2;19;2.27666666666667
station318;Wind;2019;1;2;19;1.94433333333333
station105;Wind;2019;1;2;19;-115.626666666667
station82;Wind;2019;1;2;20;1.10166666666667
station254;Wind;2019;1;2;20;2.159
station319;Wind;2019;1;2;20;1.33583333333333
station271;Wind;2019;1;2;20;2.671
station349;Wind;2019;1;2;20;-999
station83;Wind;2019;1;2;20;0.896666666666666
station68;Wind;2019;1;2;20;2.51333333333333
station197;Wind;2019;1;2;20;1.334
station59;Wind;2019;1;2;20;5.095
station313;Wind;2019;1;2;20;1.53783333333333
station252;Wind;2019;1;2;20;2.17083333333333
station206;Wind;2019;1;2;20;1.15333333333333
station229;Wind;2019;1;2;20;2.1525
station322;Wind;2019;1;2;20;1.45816666666667
station318;Wind;2019;1;2;20;1.42566666666667
station105;Wind;2019;1;2;20;-181.848333333333
station82;Wind;2019;1;2;21;1.22
station254;Wind;2019;1;2;21;1.38066666666667
station319;Wind;2019;1;2;21;1.4515
station271;Wind;2019;1;2;21;2.09016666666667
station349;Wind;2019;1;2;21;-999
station83;Wind;2019;1;2;21;1.04333333333333
station68;Wind;2019;1;2;21;2.90333333333333
station197;Wind;2019;1;2;21;1.09516666666667
