station;VARIABLE;YEAR;MONTH;DAY;HOUR;Value
station197;Temperature;2019;1;2;12;27.7681666666667
station59;Temperature;2019;1;2;12;25.9966666666667
station313;Temperature;2019;1;2;12;24.3324999666667
station252;Temperature;2019;1;2;12;27.62316675
station206;Temperature;2019;1;2;12;25.3333333333333
station229;Temperature;2019;1;2;12;25.4998335833333
station322;Temperature;2019;1;2;12;27.3248333666667
station318;Temperature;2019;1;2;12;26.9948333333333
station105;Temperature;2019;1;2;12;-42.9733333333333
station82;Temperature;2019;1;2;13;28.5116666666667
station254;Temperature;2019;1;2;13;29.4933331666667
station319;Temperature;2019;1;2;13;30.0609999833333
station271;Temperature;2019;1;2;13;29.3068335166667
station349;Temperature;2019;1;2;13;-999
station83;Temperature;2019;1;2;13;26.4866666666667
station68;Temperature;2019;1;2;13;29.3833333333333
station197;Temperature;2019;1;2;13;29.3351666
station59;Temperature;2019;1;2;13;27.185
station313;Temperature;2019;1;2;13;26.0656667
station252;Temperature;2019;1;2;13;29.1216666833333
station206;Temperature;2019;1;2;13;26.8716666666667
station229;Temperature;2019;1;2;13;27.10883335
station322;Temperature;2019;1;2;13;-56.5678333166667
station318;Temperature;2019;1;2;13;28.8804998
station105;Temperature;2019;1;2;13;-109.718333333333
station82;Temperature;2019;1;2;14;29.3
station254;Temperature;2019;1;2;14;30.3656666166667
station319;Temperature;2019;1;2;14;30.9016666166667
station271;Temperature;2019;1;2;14;30.08433335
station349;Temperature;2019;1;2;14;-999
station83;Temperature;2019;1;2;14;26.8783333333333
station68;Temperature;2019;1;2;14;30.4316666666667
station197;Temperature;2019;1;2;14;30.2785
station59;Temperature;2019;1;2;14;27.4433333333333
station313;Temperature;2019;1;2;14;26.7384999833333
station252;Temperature;2019;1;2;14;29.7168332666667
station206;Temperature;2019;1;2;14;27.595
station229;Temperature;2019;1;2;14;27.88533335
station322;Temperature;2019;1;2;14;30.1064998833333
station318;Temperature;2019;1;2;14;29.8108331666667
station105;Temperature;2019;1;2;14;-176.921666666667
